	Column	B_CD5	B_Memory	B_Naive	CD4_Central_Memory	CD4_Effector_Memory	CD4_Naive	CD4_Th1	CD4_Th17	CD4_Th2	CD4_Treg	CD8_Central_Memory	CD8_Effector	CD8_Naive	P-value	Pearson Correlation	RMSE	cohort	metric	processing	data_col	cohort_sample_id	incut_sample_id	cutname
50	50	0.3294637842564893	0.2477326831016519	0.0	0.0	0.07151358965819518	0.0	0.2916082740214965	0.0	0.0285117218537787	0.0007208597651115514	0.0	0.0	0.030449087343276907	0.16	0.13729996874291772	1.1524127133709943	tcgakirc	counts	raw	est_counts	51	12	cut2
51	51	0.016703618442254282	0.3812738261705685	0.0	0.1006772031461828	0.0	0.129901457797416	0.15614233983870499	0.0	0.045155950037918544	0.009239652177530935	0.0	0.1609059523894238	0.0	0.04	0.3238231535023657	1.0151551003807004	tcgakirc	counts	raw	est_counts	52	13	cut2
52	52	0.17913941521887014	0.3679796898031504	0.0	0.17347707343168806	0.0	0.10452501562083938	0.0	0.0	0.015573326333591066	0.0	0.0	0.15930547959186106	0.0	0.04	0.3037058255404042	1.0488029050247982	tcgakirc	counts	raw	est_counts	53	14	cut2
53	53	0.007453637428201114	0.5510821493181682	0.0	0.06926126730455508	0.0	0.08064377016284549	0.1272819833272204	0.0	0.0	0.014177677833625031	0.0	0.15009951462538468	0.0	0.03	0.3496348268949763	1.0476988414760338	tcgakirc	counts	raw	est_counts	54	15	cut2
54	54	0.0	0.30888706228951224	0.0	0.0	0.3891681533787533	0.09195050340902684	0.00011354218437455415	0.0	0.0	0.048037977811290086	0.0727342207368816	0.08910854019016143	0.0	0.09	0.22309662730280166	1.074641436606918	tcgakirc	counts	raw	est_counts	55	16	cut2
55	55	0.06229874263327007	0.3996254267181627	0.0	0.1442175655666361	0.0	0.07996068446836588	0.0	0.0	0.01588279058207319	0.0	0.0	0.298014790031492	0.0	0.08	0.27811210911672196	1.0559645126059316	tcgakirc	counts	raw	est_counts	56	17	cut2
56	56	0.0820124668340181	0.35666029447091946	0.0	0.05500905620301079	0.0	0.0067151057850938145	0.0	0.045168871466494384	0.010441191102379463	0.0038678236406740093	0.0	0.4154876249345461	0.02463756556286387	0.09	0.2544327677912134	1.0691197440543259	tcgakirc	counts	raw	est_counts	57	18	cut2
57	57	0.1194169012055332	0.4019797045120394	0.0	0.17644238525889644	0.0	0.025221043557577986	0.059875800513842815	0.0	0.06771114114649461	0.0	0.0	0.14935302380561544	0.0	0.04	0.33116693867801644	1.0252636429232185	tcgakirc	counts	raw	est_counts	58	19	cut2
58	58	0.08280432521152611	0.3881934867833879	0.0	0.10660879593181766	0.0	0.14172483005827327	0.10132918587468204	0.0	0.003126586845468271	0.0	0.0	0.17621278929484474	0.0	0.03	0.3342467437720078	1.0174165981713958	tcgakirc	counts	raw	est_counts	59	20	cut2
59	59	0.0	0.3892934410821284	0.04666252150360622	0.0	0.0073577711794117285	0.2374860947801804	0.04926974132789472	0.0	0.0	0.05596058568155531	0.0	0.2139698444452231	0.0	0.04	0.3059618596234932	1.0399756231617014	tcgakirc	counts	raw	est_counts	60	21	cut2
60	60	0.35232198295172346	0.12462609512072174	0.0	0.0	0.19453905724015344	0.0	0.2904310869094929	0.00027522297159743715	0.0	0.003940554877176842	0.015804979068831562	0.0	0.018061020860302555	0.55	-0.011255969351563094	1.1969927575415291	tcgakirc	counts	raw	est_counts	61	22	cut2
61	61	0.0	0.2714147398250799	0.07368295192688087	0.0	0.0	0.13657744837168595	0.1902044192485744	0.0	0.0	0.07236406996268023	0.0	0.2557563706650987	0.0	0.09	0.2410416520449507	1.0558978905655485	tcgakirc	counts	raw	est_counts	62	23	cut2
62	62	0.0	0.4075568712198344	0.01633148258026876	0.07490983832237721	0.0	0.061297787464975176	0.0	0.016525862530329376	0.0	0.0485085469896882	0.0	0.3748696108925269	0.0	0.09	0.2651507273781158	1.0648938018376235	tcgakirc	counts	raw	est_counts	63	24	cut2
63	63	0.20955705359209564	0.2688643908637852	0.0	0.1392704804789366	0.18352290129612256	0.10451393998250247	0.0	0.0	0.0	0.0	0.0	0.09427123378655754	0.0	0.09	0.2155372919378538	1.083062419124533	tcgakirc	counts	raw	est_counts	64	25	cut2
64	64	0.1611462428896326	0.24332862950312675	0.0	0.0	0.0	0.061772788741927265	0.2363081263524497	0.0	0.032321035380281776	0.0	0.0	0.26512317713258204	0.0	0.18	0.1022858002789934	1.1352467048652881	tcgakirc	counts	raw	est_counts	65	26	cut2
65	65	0.18162743799450407	0.3452103663154589	0.0	0.08277680005307016	0.0	0.07965516853947535	0.0	0.008094859888023285	0.01742900211498095	0.0	0.0	0.2852063650944872	0.0	0.06	0.2854187643126871	1.0561514210012188	tcgakirc	counts	raw	est_counts	66	27	cut2
66	66	0.13366433616422638	0.19758264493370725	0.0	0.0	0.1459187166937312	0.0895204912750833	0.3540196924584915	0.0	0.07929411847476034	0.0	0.0	0.0	0.0	0.16	0.1270894199137838	1.1171591849049718	tcgakirc	counts	raw	est_counts	67	28	cut2
67	67	0.16352251115166352	0.3816872899485151	0.0	0.1852387060411749	0.0	0.09627131430861573	0.0	0.0	0.00793981601396209	0.0	0.0	0.1653403625360687	0.0	0.03	0.3430812976347706	1.0214891409531734	tcgakirc	counts	raw	est_counts	68	29	cut2
68	68	0.0	0.531583955908329	0.0	0.0	0.0	0.09326906948032747	0.33360327808955703	0.0	0.03660198921608234	0.004941707305704211	0.0	0.0	0.0	0.03	0.3661192570894388	1.029569486159867	tcgakirc	counts	raw	est_counts	69	30	cut2
69	69	0.021277489398504337	0.3960452862133633	0.0	0.06327236053072456	0.0	0.1585647960554843	0.15153642206486714	0.0	0.020276264192554586	0.0	0.0	0.1890273815445017	0.0	0.04	0.326304239434782	1.0188819367272213	tcgakirc	counts	raw	est_counts	70	31	cut2
70	70	0.06025215445701646	0.3298851951850613	0.0	0.0	0.0769323188233833	0.0	0.4076708199882814	0.0	0.02108569541893433	0.005963628029036538	0.0	0.0	0.09821018809828663	0.09	0.21801537536338528	1.06966360525126	tcgakirc	counts	raw	est_counts	71	32	cut2
71	71	0.0	0.3032721689192988	0.0	0.0	0.08156301937614706	0.0	0.4699992059054238	0.0	0.04315315678198581	0.027628367302789333	0.0	0.0	0.07438408171435527	0.14	0.17606475418234172	1.0887083646296345	tcgakirc	counts	raw	est_counts	72	33	cut2
72	72	0.2500284120293507	0.1270239287642692	0.0	0.1892778975064644	0.011901130688556671	0.17084345766634054	0.034147438566247405	0.0	0.09386218556429572	0.013516793161397736	0.0	0.10939875605307772	0.0	0.31	0.057111545167616226	1.1583289213044077	tcgakirc	counts	raw	est_counts	73	34	cut2
73	73	0.06934221302268766	0.5132235893566227	0.0	0.012059156580525395	0.12548879141914507	0.057426151912913136	0.0	0.04195798297842916	0.0	0.00962886298932577	0.0	0.1708732517403511	0.0	0.06	0.2866756915128144	1.0977738079781532	tcgakirc	counts	raw	est_counts	74	35	cut2
74	74	0.31293722357256143	0.2776299919174978	0.0	0.0	0.0	0.015630294919121063	0.19810371231094226	0.006310865371807977	0.010987284098295932	0.0	0.0	0.15624738872916275	0.022153239080610718	0.09	0.20409669192698496	1.1161793051784648	tcgakirc	counts	raw	est_counts	75	36	cut2
75	75	0.014680885116780597	0.4064239291908437	0.0	0.0	0.0	0.11708665839710912	0.2927716003674405	0.0	0.025049183216122317	0.0	0.0	0.1439877437117038	0.0	0.03	0.3494029944015156	1.0023736589799324	tcgakirc	counts	raw	est_counts	76	37	cut2
76	76	0.30949583657476804	0.1603335508472381	0.0	0.0	0.0	0.013914764249783551	0.3122206923334901	0.0	0.019123079272776244	0.0	0.0	0.12527207577278832	0.059640000949155635	0.28	0.06845259371161702	1.1514938260366283	tcgakirc	counts	raw	est_counts	77	38	cut2
77	77	0.29931240754569555	0.17752052844974914	0.0	0.0	0.12021542613750888	0.11168003064230647	0.23897522847424796	0.0	0.050859502949804666	0.001436875800687401	0.0	0.0	0.0	0.16	0.11698022107981568	1.1370061119284087	tcgakirc	counts	raw	est_counts	78	39	cut2
78	78	0.3382393667654632	0.0	0.0	0.14398018287171396	0.0	0.0	0.3421490624314209	0.0	0.09456098495214577	0.028342345367237887	0.0	0.028838409252250792	0.023889648359767483	0.16	0.1342283759919676	1.0972744794969749	tcgakirc	counts	raw	est_counts	79	40	cut2
0	0	0.0	0.21651303346534184	0.4458650267156839	0.0	0.0	0.04904471775951584	0.10531555470368384	0.0	0.022962567079850792	0.0	0.0	0.16029910027592373	0.0	0.0	0.6020660420546654	0.8791687179167941	tcgakirc	tpm	raw	tpm	1	1	cut1
1	1	0.0	0.3695856815298231	0.20423595235290407	0.11501289800036275	0.0129260488271269	0.12318128929576712	0.0	0.045584179424131316	0.007045990717319362	0.0	0.0	0.12242795985256533	0.0	0.0	0.5535529038117775	0.8877123689984701	tcgakirc	tpm	raw	tpm	2	2	cut1
2	2	0.0	0.1952784859030723	0.41097073419986224	0.013744396585287809	0.0	0.07091703671439735	0.0	0.0	0.014979136248683456	0.0	0.0	0.29411021034869683	0.0	0.0	0.531175596426066	0.927177004932816	tcgakirc	tpm	raw	tpm	3	3	cut1
3	3	0.0	0.21336249950504876	0.3776918552795479	0.16000478696210196	0.0	0.06766054293401133	0.024228357752638888	0.0	0.02931883020341652	0.0	0.0	0.12773312736323464	0.0	0.03	0.4581512758323782	0.9799917122444723	tcgakirc	tpm	raw	tpm	4	4	cut1
4	4	0.0	0.29653000221051584	0.5028569047409371	0.04357193847129159	0.07819021201241916	0.031981265731085	0.0	0.0	0.0248982996181789	0.0	0.02197137721557236	0.0	0.0	0.0	0.5844174541310526	0.996991297397936	tcgakirc	tpm	raw	tpm	5	5	cut1
5	5	0.0	0.23331226485480894	0.2643449075983136	0.14126668652108534	0.0	0.11007563470928276	0.0	0.0	0.0	0.0	0.0	0.23491755517383195	0.016082951142677382	0.03	0.45890376946651706	0.9392248375241328	tcgakirc	tpm	raw	tpm	6	6	cut1
6	6	0.0	0.2579476890392341	0.38655786446881546	0.0909561488816403	0.0	0.128224837951845	0.0	0.0	0.0	0.0	0.0	0.1363134596584651	0.0	0.0	0.5598194786381545	0.9140430286548408	tcgakirc	tpm	raw	tpm	7	7	cut1
7	7	0.0	0.3866226996589664	0.2123442592326705	0.18249734982168614	0.0	0.05380231576541825	0.024610018957630958	0.0	0.03494952562317244	0.0	0.0	0.1051738309404553	0.0	0.0	0.5775254004685892	0.8739495393314061	tcgakirc	tpm	raw	tpm	8	8	cut1
8	8	0.0	0.23564383742758785	0.4944557388599397	0.0	0.06550744891266773	0.0	0.1100896632312506	0.0	0.0	0.010870173880042229	0.08343313768851185	0.0	0.0	0.06	0.28738534470749183	1.2311253425615047	tcgakirc	tpm	raw	tpm	9	9	cut1
9	9	0.0	0.3166587956230369	0.3568803873458499	0.0	0.0	0.02729744981559956	0.13819754781168386	0.0	0.02499090180424675	0.0	0.0	0.13597491759958294	0.0	0.0	0.608477541303582	0.8783268186972744	tcgakirc	tpm	raw	tpm	10	10	cut1
10	10	0.0	0.296495062518128	0.33378471533869336	0.0	0.0	0.02584880667082373	0.01704905684064247	0.0	0.0769253309488185	0.0	0.0	0.19380301445988213	0.05609401322301187	0.0	0.6092165703743112	0.8556206731804685	tcgakirc	tpm	raw	tpm	11	11	cut1
11	11	0.0	0.3428495884948205	0.4284277884124341	0.06450699771699006	0.0	0.016943217473726617	0.0	0.025839720609192	0.04479433020591935	0.0	0.0	0.07469571153558058	0.001942645551336821	0.0	0.5705299586781549	0.9898086064842508	tcgakirc	tpm	raw	tpm	12	12	cut1
12	12	0.0	0.16990442352539795	0.4745966217609854	0.1552443756586247	0.0	0.0	0.06266233259846993	0.0	0.03727087086782895	0.0	0.0	0.08591878811303298	0.014402587475660087	0.0	0.5243582338879441	0.9483094234027786	tcgakirc	tpm	raw	tpm	13	13	cut1
13	13	0.0	0.2770551675824626	0.4825558557014582	0.0055178551812140745	0.0	0.027476736127142704	0.08246867340781218	0.0	0.025021680488710767	0.0	0.013190932542332756	0.08671309896886667	0.0	0.04	0.4098074358822327	1.1461838594701943	tcgakirc	tpm	raw	tpm	14	14	cut1
14	14	0.0	0.21514700382926266	0.5223546364180612	0.09820549308054713	0.0	0.052470365713828494	0.0	0.0	0.029277428465782268	0.0	0.0	0.08254507249251829	0.0	0.0	0.6100294006396838	0.9185788142112842	tcgakirc	tpm	raw	tpm	15	15	cut1
15	15	0.0	0.3627111403416576	0.4189907006015993	0.04274060824087576	0.0	0.046432539549174666	0.0	0.009305673919327724	0.018951648228391838	0.0	0.0	0.10086768911897312	0.0	0.0	0.5989013570691186	0.9662907097999924	tcgakirc	tpm	raw	tpm	16	16	cut1
16	16	0.0	0.0	0.4914208894301661	0.13397141442466087	0.0	0.14420296534176594	0.0	0.0	0.0	0.0	0.0	0.23040473080340715	0.0	0.16	0.12275706569108218	1.1868299585871198	tcgakirc	tpm	raw	tpm	17	17	cut1
